Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Concentration (log M),Concentration (M),Replicate,Peak Fluorescence (RFU),F0 (RFU),F0 Source,ΔF/F0,Transient Fit Method,Transient R²,PAC-3310 Activation (% Max Carbachol),Control-referenced % Inhibition,Range-referenced % Inhibition
Carbachol dose titration (M1),M1,Carbachol agonism,,-5.0,1e-05,1,66.0,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.981543004798819,raw peak fallback,,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-5.0,1e-05,2,66.96352746797811,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,1.010471355012509,rise-decay fit,0.8674268818020235,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-5.0,1e-05,3,65.47531025331777,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.9657900457499125,rise-decay fit,0.890752822017341,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-5.0,1e-05,4,68.1609842941588,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,1.0464230549741291,rise-decay fit,0.8758891203612196,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-6.0,1e-06,1,56.84257777766149,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.7066062480311807,rise-decay fit,0.8577769803948715,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-6.0,1e-06,2,56.15543280319608,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.6859758341306563,rise-decay fit,0.8834289200912142,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-6.0,1e-06,3,56.261840395118575,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.6891705495765884,rise-decay fit,0.8775260915555521,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-6.0,1e-06,4,56.020103350739404,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.6819127867085537,rise-decay fit,0.8959575179634062,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-7.0,1e-07,1,43.51353728136676,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.3064234153628018,rise-decay fit,0.8562229331826039,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-7.0,1e-07,2,44.148950944037026,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.3255006804903452,rise-decay fit,0.9034825820578551,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-7.0,1e-07,3,42.69641266170157,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.2818905733302799,rise-decay fit,0.8955266845085539,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-7.0,1e-07,4,44.854708588033475,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.34668990961980667,rise-decay fit,0.8969590288071277,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-8.0,1e-08,1,35.966910502988085,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.07984818047607896,rise-decay fit,0.6882344606735742,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-8.0,1e-08,2,36.956581345188866,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.10956144311875037,rise-decay fit,0.5049813150020938,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-8.0,1e-08,3,36.595565962251484,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.09872254150232104,rise-decay fit,0.7297180081356505,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-8.0,1e-08,4,37.14603015365467,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.11524933647000622,rise-decay fit,0.7388997561360893,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-9.0,1e-09,1,34.90146326186241,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.04785985429979439,rise-decay fit,0.7729292472066354,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-9.0,1e-09,2,35.28364770396219,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.05933432259957854,rise-decay fit,0.6080029586398396,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-9.0,1e-09,3,35.95932385565707,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.07962040368897816,rise-decay fit,0.6285498457928137,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-9.0,1e-09,4,35.856301496310294,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.07652732436319831,rise-decay fit,0.5802993166768364,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-10.0,1e-10,1,39.95187634869913,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.1994903198083658,rise-decay fit,0.2385342342254655,,,
Carbachol dose titration (M1),M1,Carbachol agonism,,-10.0,1e-10,2,34.859338151320124,33.307377049180324,Carbachol dose titration (M1) / Vehicle Control,0.04659511614643916,rise-decay fit,0.6774287980886491,,,
