Condition,Receptor,Assay Mode,Concentration,Replicate,Method,Baseline,Amplitude,Tau Rise (s),Tau Decay (s),Peak Time (s),Peak Fluorescence (RFU),Transient R²
Carbachol dose titration (M1),M1,Carbachol agonism,-5.0,1,raw peak fallback,59.0,7.0,,,0.0,66.0,
Carbachol dose titration (M1),M1,Carbachol agonism,-5.0,2,rise-decay fit,52.6003316948585,18.081323188115185,4.271918529500317,75.61926347437516,13.011014529366733,66.96352746797811,0.8674268818020235
Carbachol dose titration (M1),M1,Carbachol agonism,-5.0,3,rise-decay fit,50.989803089402265,18.423490598349137,5.12242213580822,85.81226931301592,15.354271985248154,65.47531025331777,0.890752822017341
Carbachol dose titration (M1),M1,Carbachol agonism,-5.0,4,rise-decay fit,52.576541190522725,19.49416156866747,4.868658821805877,89.28814914086941,14.979994791138036,68.1609842941588,0.8758891203612196
Carbachol dose titration (M1),M1,Carbachol agonism,-6.0,1,rise-decay fit,47.190845120078855,11.683019386424316,3.3794739378829526,75.67745097989777,10.997061975053114,56.84257777766149,0.8577769803948715
Carbachol dose titration (M1),M1,Carbachol agonism,-6.0,2,rise-decay fit,45.98256743644904,13.437804960292322,6.49046536140602,90.35547669060098,18.41489337690518,56.15543280319608,0.8834289200912142
Carbachol dose titration (M1),M1,Carbachol agonism,-6.0,3,rise-decay fit,46.34491991248984,13.856550755530497,8.22657843837766,90.69313045079777,21.714368512374396,56.261840395118575,0.8775260915555521
Carbachol dose titration (M1),M1,Carbachol agonism,-6.0,4,rise-decay fit,46.74501880077122,13.473892334261867,9.716802115509276,93.14625038843631,24.52100084830125,56.020103350739404,0.8959575179634062
Carbachol dose titration (M1),M1,Carbachol agonism,-7.0,1,rise-decay fit,38.75231414679629,5.715582313113674,3.7884460101601145,89.70407766197013,12.517410008285905,43.51353728136676,0.8562229331826039
Carbachol dose titration (M1),M1,Carbachol agonism,-7.0,2,rise-decay fit,39.869850518883034,7.588102703665695,16.434473562124975,91.70831818425943,34.42348941709568,44.148950944037026,0.9034825820578551
Carbachol dose titration (M1),M1,Carbachol agonism,-7.0,3,rise-decay fit,38.949762174044935,1203.7377603783482,57.745401386829435,58.23604143565145,57.99002955194119,42.69641266170157,0.8955266845085539
Carbachol dose titration (M1),M1,Carbachol agonism,-7.0,4,rise-decay fit,40.38015634096254,9.408852686277722,26.790294061605827,108.30970358376351,49.724023932459325,44.854708588033475,0.8969590288071277
Carbachol dose titration (M1),M1,Carbachol agonism,-8.0,1,rise-decay fit,34.2630636159766,3.1848067073502433,99.99999999999999,499.9999999999989,201.17973905426237,35.966910502988085,0.6882344606735742
Carbachol dose titration (M1),M1,Carbachol agonism,-8.0,2,rise-decay fit,35.397689483658596,2.5194426170099713,71.72949199074633,499.9999999999789,162.60469761575268,36.956581345188866,0.5049813150020938
Carbachol dose titration (M1),M1,Carbachol agonism,-8.0,3,rise-decay fit,33.754690250292036,4.420356266125874,51.532179143382315,398.69239754831125,121.08453726469664,36.595565962251484,0.7297180081356505
Carbachol dose titration (M1),M1,Carbachol agonism,-8.0,4,rise-decay fit,34.99335262812097,3.1248773588860876,52.02763380443124,499.99999999999915,131.40302935924015,37.14603015365467,0.7388997561360893
Carbachol dose titration (M1),M1,Carbachol agonism,-9.0,1,rise-decay fit,32.685331948299975,4.142361573452216,99.99999999999999,499.99999999999955,201.17973905426248,34.90146326186241,0.7729292472066354
Carbachol dose titration (M1),M1,Carbachol agonism,-9.0,2,rise-decay fit,33.52233824880575,3.038309513219483,84.21974170438472,499.99999999995686,180.39626778668455,35.28364770396219,0.6080029586398396
Carbachol dose titration (M1),M1,Carbachol agonism,-9.0,3,rise-decay fit,33.4162185908188,3.7612577339778754,51.36751776380006,463.9114658024363,127.11941420696333,35.95932385565707,0.6285498457928137
Carbachol dose titration (M1),M1,Carbachol agonism,-9.0,4,rise-decay fit,33.40366229101666,3.3848757312032074,43.23542739082219,499.9999999999999,115.85626199717457,35.856301496310294,0.5802993166768364
Carbachol dose titration (M1),M1,Carbachol agonism,-10.0,1,rise-decay fit,34.045141176381996,6.217079754610932,0.06421752153624963,7.238001398018529,0.3061325982788419,39.95187634869913,0.2385342342254655
Carbachol dose titration (M1),M1,Carbachol agonism,-10.0,2,rise-decay fit,32.86232202591864,3.7327945364981114,99.99999999999999,499.999999999916,201.17973905424998,34.859338151320124,0.6774287980886491
Carbachol dose titration (M1),M1,Carbachol agonism,-10.0,3,rise-decay fit,34.311179236628355,13.460114730765165,99.99999999059081,117.47184796572445,108.26741791030337,35.10768364209168,0.2734965242061631
Carbachol dose titration (M1),M1,Carbachol agonism,-10.0,4,rise-decay fit,32.880900725324075,9.478747655725833,99.99999999999994,173.77006857615666,130.1596657369587,34.783533189771475,0.5579007242972223
Carbachol dose titration (M1),M1,Carbachol agonism,-11.0,1,rise-decay fit,34.857074272816355,3.912398171180216,73.00035848061607,0.10048967871236555,0.0,34.857074272816355,0.7176642707865251
Carbachol dose titration (M1),M1,Carbachol agonism,-11.0,2,rise-decay fit,34.4114652142102,3.7752600570045614,85.15418766924608,499.9999999995976,181.67619576762405,36.58948409705937,0.5894787294227002
Carbachol dose titration (M1),M1,Carbachol agonism,-11.0,3,rise-decay fit,33.71108367365197,5.9998869984263505,86.50577913423105,272.67268732010797,145.46188215977213,36.11390867291271,0.8036428349296185
Carbachol dose titration (M1),M1,Carbachol agonism,-11.0,4,rise-decay fit,32.68800862333391,5.209086408513154,81.03134672718653,499.9999999999997,175.97805531004042,35.75788220403509,0.7465369165961064
Carbachol dose titration (M1),M1,Carbachol agonism,Vehicle Control,1,rise-decay fit,34.561216933724246,5.687662158550507,72.35230329194941,0.12121102167520459,0.0,34.561216933724246,0.7354580207767036
Carbachol dose titration (M1),M1,Carbachol agonism,Vehicle Control,2,rise-decay fit,31.10395984243235,5.260082810554593,99.99999999999999,499.99999999999994,201.1797390542625,33.91806334877756,0.8410113516384592
Carbachol dose titration (M1),M1,Carbachol agonism,Vehicle Control,3,rise-decay fit,34.013170639380974,3.2532599564925824,37.5032471061237,0.11989123464969145,0.0,34.013170639380974,0.6517037538652082
Carbachol dose titration (M1),M1,Carbachol agonism,Vehicle Control,4,rise-decay fit,30.008685191658238,5.52139855196987,65.99373184824881,499.99999999999994,153.96148220439787,33.531143408655886,0.8082309107165313
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-5.0,1,rise-decay fit,34.894189041130545,6.114073098610925,0.06629319428609087,5.827022759923986,0.30015470460017896,40.63522856332017,0.23895146322198313
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-5.0,2,rise-decay fit,32.09703738912479,5.465779523705413,99.99999999999999,499.99999999999994,201.1797390542625,35.021187041618106,0.8899841812182172
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-5.0,3,rise-decay fit,32.11034594693843,5.283240468935708,99.99999999999999,499.9999999999998,201.1797390542625,34.9368386209063,0.8436316205606799
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-5.0,4,rise-decay fit,33.38766605114768,3.8919018638339553,82.09227674835414,499.99999999999994,177.457097581083,35.668717060945475,0.6298266439764408
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-6.0,1,rise-decay fit,35.031217359225586,2.792873574831704,39.46146414462287,2.9092414837939056,0.0,35.031217359225586,0.5164791662489753
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-6.0,2,rise-decay fit,33.08192983267658,5.197255133672924,99.99999999999999,499.99999999994867,201.1797390542549,35.8624210191826,0.7989558836092683
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-6.0,3,rise-decay fit,33.25166692292573,5.25603561207207,99.99999999999999,464.4145918923335,195.6997713577141,35.957747659129296,0.832413207183797
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-6.0,4,rise-decay fit,33.86157860483049,4.909416645069237,99.99999999998128,468.9091824260655,196.41059493004988,36.402252821809476,0.7060714891897144
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-7.0,1,rise-decay fit,33.4953721445739,4.388027257612693,99.99999999999969,460.3967500922783,195.0595513274143,35.74399859465789,0.6674699025497937
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-7.0,2,rise-decay fit,33.322648734618696,5.077185517969363,99.99999999999785,305.41353858013196,166.00325390942365,35.305586687732784,0.6728713763821936
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-7.0,3,rise-decay fit,33.88854346730459,4.8159919274567216,99.99999999999999,356.7848246800674,176.7304524686827,36.00069222374091,0.7743081790834004
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-7.0,4,rise-decay fit,34.30363323404497,8.53763421384984,99.99999999999865,247.22522878010864,151.9922043595293,37.05295788068397,0.8367857827528025
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-8.0,1,rise-decay fit,32.88918139468524,5.5732147919351425,99.99999999999999,499.9999999999645,201.17973905425723,35.870808082411386,0.8358878134415653
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-8.0,2,rise-decay fit,33.04201560683368,5.422007436932868,85.11750428367796,499.99999999999727,181.62607506251638,36.17066438612519,0.9040754849971947
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-8.0,3,rise-decay fit,32.78143876521062,4.10941785915184,66.31382229365882,478.60532211753514,152.14902545603894,35.357431231080014,0.7248843764617423
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-8.0,4,rise-decay fit,33.39167331274981,6.453858089650438,90.82798778042144,342.03236146028286,163.9769763922756,36.326416988083324,0.8239923274956601
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-9.0,1,rise-decay fit,34.99702492165501,2.3772330884316935,37.954905085764125,1.3391509757750606,0.0,34.99702492165501,0.6238659005096683
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-9.0,2,rise-decay fit,32.141089273673465,7.152923969345555,99.99999999999862,294.63635595687333,163.57463736003973,34.853228312095794,0.755510823029924
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-9.0,3,rise-decay fit,32.71389206980227,4.495933763077694,99.99999999999984,427.91617724826693,189.70890806341924,34.925394532699706,0.7406292613249977
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-9.0,4,rise-decay fit,35.03998037043318,2.0639190514497487,49.66235716493293,0.10804965032336289,0.0,35.03998037043318,0.5795403691369475
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-10.0,1,rise-decay fit,32.73400411431009,2.9338270358277385,99.99999999999999,499.9999999999897,201.17973905426098,34.30357882366008,0.5586507396489919
PAC-3310 dose titration (M1),M1,PAC-3310 agonism,-10.0,2,rise-decay fit,32.70061665178841,2.2865994500618694,79.43838330859737,499.99999999999994,173.74023649620162,34.05937076526979,0.6328235649572127
