Time (s),Carbachol Concentration (log M),Replicate,Fluorescence (RFU)
0,-5.0,1,66
5,-5.0,1,66
10,-5.0,1,66
15,-5.0,1,66
20,-5.0,1,66
25,-5.0,1,65
30,-5.0,1,65
35,-5.0,1,65
40,-5.0,1,65
45,-5.0,1,64
50,-5.0,1,64
55,-5.0,1,63
60,-5.0,1,63
65,-5.0,1,63
70,-5.0,1,63
75,-5.0,1,62
80,-5.0,1,62
85,-5.0,1,61
90,-5.0,1,61
95,-5.0,1,60
100,-5.0,1,60
105,-5.0,1,60
110,-5.0,1,60
115,-5.0,1,60
120,-5.0,1,59
125,-5.0,1,59
130,-5.0,1,58
135,-5.0,1,58
140,-5.0,1,58
145,-5.0,1,58
150,-5.0,1,57
155,-5.0,1,58
160,-5.0,1,57
165,-5.0,1,57
170,-5.0,1,57
175,-5.0,1,57
180,-5.0,1,57
185,-5.0,1,57
190,-5.0,1,56
195,-5.0,1,56
200,-5.0,1,56
205,-5.0,1,56
210,-5.0,1,56
215,-5.0,1,56
220,-5.0,1,56
225,-5.0,1,56
230,-5.0,1,56
235,-5.0,1,55
240,-5.0,1,56
245,-5.0,1,55
250,-5.0,1,55
255,-5.0,1,55
260,-5.0,1,56
265,-5.0,1,55
270,-5.0,1,55
275,-5.0,1,55
280,-5.0,1,55
285,-5.0,1,55
290,-5.0,1,55
295,-5.0,1,55
300,-5.0,1,55
0,-5.0,2,64
5,-5.0,2,65
10,-5.0,2,66
15,-5.0,2,65
20,-5.0,2,66
25,-5.0,2,64
30,-5.0,2,65
35,-5.0,2,64
40,-5.0,2,63
45,-5.0,2,63
50,-5.0,2,63
55,-5.0,2,62
60,-5.0,2,62
65,-5.0,2,61
70,-5.0,2,61
75,-5.0,2,60
80,-5.0,2,59
85,-5.0,2,59
90,-5.0,2,59
95,-5.0,2,58
100,-5.0,2,58
105,-5.0,2,57
110,-5.0,2,57
115,-5.0,2,56
120,-5.0,2,57
125,-5.0,2,56
130,-5.0,2,56
135,-5.0,2,56
140,-5.0,2,55
145,-5.0,2,55
150,-5.0,2,55
155,-5.0,2,55
160,-5.0,2,55
165,-5.0,2,54
170,-5.0,2,54
175,-5.0,2,54
180,-5.0,2,54
185,-5.0,2,54
190,-5.0,2,54
195,-5.0,2,53
200,-5.0,2,53
205,-5.0,2,53
210,-5.0,2,53
215,-5.0,2,53
220,-5.0,2,53
225,-5.0,2,53
230,-5.0,2,53
235,-5.0,2,53
240,-5.0,2,53
245,-5.0,2,53
250,-5.0,2,53
255,-5.0,2,53
260,-5.0,2,53
265,-5.0,2,53
270,-5.0,2,52
275,-5.0,2,52
280,-5.0,2,52
285,-5.0,2,52
290,-5.0,2,52
295,-5.0,2,52
300,-5.0,2,52
0,-5.0,3,61
5,-5.0,3,63
10,-5.0,3,64
15,-5.0,3,64
20,-5.0,3,64
25,-5.0,3,64
30,-5.0,3,63
35,-5.0,3,63
40,-5.0,3,63
45,-5.0,3,62
50,-5.0,3,62
55,-5.0,3,61
60,-5.0,3,61
65,-5.0,3,60
70,-5.0,3,60
75,-5.0,3,59
80,-5.0,3,59
85,-5.0,3,59
90,-5.0,3,58
95,-5.0,3,58
100,-5.0,3,57
105,-5.0,3,57
110,-5.0,3,57
115,-5.0,3,56
120,-5.0,3,56
125,-5.0,3,56
130,-5.0,3,55
135,-5.0,3,55
140,-5.0,3,54
145,-5.0,3,55
150,-5.0,3,55
155,-5.0,3,54
160,-5.0,3,53
165,-5.0,3,54
170,-5.0,3,53
175,-5.0,3,53
180,-5.0,3,53
185,-5.0,3,53
190,-5.0,3,52
195,-5.0,3,52
200,-5.0,3,52
205,-5.0,3,52
210,-5.0,3,52
215,-5.0,3,52
220,-5.0,3,52
225,-5.0,3,52
230,-5.0,3,52
235,-5.0,3,52
240,-5.0,3,51
245,-5.0,3,51
250,-5.0,3,52
255,-5.0,3,51
260,-5.0,3,51
265,-5.0,3,51
270,-5.0,3,51
275,-5.0,3,51
280,-5.0,3,51
285,-5.0,3,51
290,-5.0,3,51
295,-5.0,3,50
300,-5.0,3,51
0,-5.0,4,64
5,-5.0,4,66
10,-5.0,4,66
15,-5.0,4,67
20,-5.0,4,66
25,-5.0,4,66
30,-5.0,4,66
35,-5.0,4,66
40,-5.0,4,65
45,-5.0,4,65
50,-5.0,4,64
55,-5.0,4,64
60,-5.0,4,63
65,-5.0,4,63
70,-5.0,4,62
75,-5.0,4,62
80,-5.0,4,62
85,-5.0,4,61
90,-5.0,4,60
95,-5.0,4,60
100,-5.0,4,59
105,-5.0,4,59
110,-5.0,4,59
115,-5.0,4,59
120,-5.0,4,58
125,-5.0,4,57
130,-5.0,4,57
135,-5.0,4,57
140,-5.0,4,57
145,-5.0,4,57
150,-5.0,4,56
155,-5.0,4,56
160,-5.0,4,56
165,-5.0,4,56
170,-5.0,4,56
175,-5.0,4,55
180,-5.0,4,55
185,-5.0,4,55
190,-5.0,4,55
195,-5.0,4,54
200,-5.0,4,54
205,-5.0,4,54
210,-5.0,4,54
215,-5.0,4,53
220,-5.0,4,54
225,-5.0,4,53
230,-5.0,4,54
235,-5.0,4,53
240,-5.0,4,53
245,-5.0,4,53
250,-5.0,4,53
255,-5.0,4,53
260,-5.0,4,52
265,-5.0,4,53
270,-5.0,4,52
275,-5.0,4,52
280,-5.0,4,53
285,-5.0,4,52
290,-5.0,4,52
295,-5.0,4,52
300,-5.0,4,53
0,-6.0,1,55
5,-6.0,1,56
10,-6.0,1,56
15,-6.0,1,56
20,-6.0,1,55
25,-6.0,1,55
30,-6.0,1,55
35,-6.0,1,55
40,-6.0,1,55
45,-6.0,1,54
50,-6.0,1,54
55,-6.0,1,53
60,-6.0,1,53
65,-6.0,1,52
70,-6.0,1,52
75,-6.0,1,52
80,-6.0,1,52
85,-6.0,1,51
90,-6.0,1,51
95,-6.0,1,51
100,-6.0,1,51
105,-6.0,1,50
110,-6.0,1,50
115,-6.0,1,50
120,-6.0,1,50
