Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
0,-5.0,1,38
6,-5.0,1,37
12,-5.0,1,36
18,-5.0,1,35
24,-5.0,1,35
30,-5.0,1,34
36,-5.0,1,35
42,-5.0,1,34
48,-5.0,1,34
54,-5.0,1,35
60,-5.0,1,35
66,-5.0,1,35
72,-5.0,1,35
78,-5.0,1,35
84,-5.0,1,34
90,-5.0,1,34
96,-5.0,1,35
102,-5.0,1,35
108,-5.0,1,35
114,-5.0,1,34
120,-5.0,1,35
126,-5.0,1,35
132,-5.0,1,34
138,-5.0,1,35
144,-5.0,1,35
150,-5.0,1,35
156,-5.0,1,35
162,-5.0,1,35
168,-5.0,1,35
174,-5.0,1,35
180,-5.0,1,35
186,-5.0,1,35
192,-5.0,1,35
198,-5.0,1,35
204,-5.0,1,35
210,-5.0,1,35
216,-5.0,1,35
222,-5.0,1,35
228,-5.0,1,35
234,-5.0,1,35
240,-5.0,1,35
246,-5.0,1,35
252,-5.0,1,35
258,-5.0,1,35
264,-5.0,1,35
270,-5.0,1,34
276,-5.0,1,35
282,-5.0,1,35
288,-5.0,1,35
294,-5.0,1,35
300,-5.0,1,35
0,-5.0,2,32
5,-5.0,2,32
10,-5.0,2,32
15,-5.0,2,33
20,-5.0,2,33
25,-5.0,2,33
30,-5.0,2,33
35,-5.0,2,34
40,-5.0,2,34
45,-5.0,2,34
50,-5.0,2,34
55,-5.0,2,34
60,-5.0,2,34
65,-5.0,2,34
70,-5.0,2,34
75,-5.0,2,34
80,-5.0,2,34
85,-5.0,2,34
90,-5.0,2,34
95,-5.0,2,35
100,-5.0,2,34
105,-5.0,2,35
110,-5.0,2,34
115,-5.0,2,34
120,-5.0,2,35
125,-5.0,2,34
130,-5.0,2,35
135,-5.0,2,35
140,-5.0,2,35
145,-5.0,2,35
150,-5.0,2,35
155,-5.0,2,35
160,-5.0,2,35
165,-5.0,2,35
170,-5.0,2,35
175,-5.0,2,35
180,-5.0,2,35
185,-5.0,2,35
190,-5.0,2,35
195,-5.0,2,35
200,-5.0,2,35
205,-5.0,2,35
210,-5.0,2,35
215,-5.0,2,35
220,-5.0,2,35
225,-5.0,2,35
230,-5.0,2,35
235,-5.0,2,35
240,-5.0,2,35
245,-5.0,2,35
250,-5.0,2,35
255,-5.0,2,35
260,-5.0,2,35
265,-5.0,2,35
270,-5.0,2,35
275,-5.0,2,35
280,-5.0,2,35
285,-5.0,2,35
290,-5.0,2,35
295,-5.0,2,35
300,-5.0,2,35
0,-5.0,3,32
5,-5.0,3,32
10,-5.0,3,33
15,-5.0,3,33
20,-5.0,3,33
25,-5.0,3,33
30,-5.0,3,33
35,-5.0,3,33
40,-5.0,3,34
45,-5.0,3,34
50,-5.0,3,33
55,-5.0,3,34
60,-5.0,3,34
65,-5.0,3,34
70,-5.0,3,34
75,-5.0,3,34
80,-5.0,3,34
85,-5.0,3,34
90,-5.0,3,34
95,-5.0,3,34
100,-5.0,3,34
105,-5.0,3,34
110,-5.0,3,35
115,-5.0,3,34
120,-5.0,3,35
125,-5.0,3,35
130,-5.0,3,34
135,-5.0,3,35
140,-5.0,3,35
145,-5.0,3,35
150,-5.0,3,35
155,-5.0,3,35
160,-5.0,3,35
165,-5.0,3,35
170,-5.0,3,35
175,-5.0,3,35
180,-5.0,3,35
185,-5.0,3,35
190,-5.0,3,35
195,-5.0,3,35
200,-5.0,3,35
205,-5.0,3,35
210,-5.0,3,34
215,-5.0,3,35
220,-5.0,3,35
225,-5.0,3,35
230,-5.0,3,35
235,-5.0,3,34
240,-5.0,3,35
245,-5.0,3,35
250,-5.0,3,35
255,-5.0,3,35
260,-5.0,3,35
265,-5.0,3,35
270,-5.0,3,35
275,-5.0,3,35
280,-5.0,3,35
285,-5.0,3,35
290,-5.0,3,35
295,-5.0,3,35
300,-5.0,3,35
0,-5.0,4,33
5,-5.0,4,34
10,-5.0,4,34
15,-5.0,4,34
20,-5.0,4,34
25,-5.0,4,34
30,-5.0,4,34
35,-5.0,4,34
40,-5.0,4,35
45,-5.0,4,35
50,-5.0,4,35
55,-5.0,4,35
60,-5.0,4,35
65,-5.0,4,35
70,-5.0,4,35
75,-5.0,4,35
80,-5.0,4,35
85,-5.0,4,35
90,-5.0,4,35
95,-5.0,4,35
100,-5.0,4,36
105,-5.0,4,35
