Time (s),PAC-3310 Concentration (log M),Replicate,Fluorescence (RFU)
0,-5.0,1,61
5,-5.0,1,63
10,-5.0,1,64
15,-5.0,1,65
20,-5.0,1,65
25,-5.0,1,66
30,-5.0,1,67
35,-5.0,1,67
40,-5.0,1,68
45,-5.0,1,68
50,-5.0,1,68
55,-5.0,1,68
60,-5.0,1,68
65,-5.0,1,68
70,-5.0,1,68
75,-5.0,1,68
80,-5.0,1,69
85,-5.0,1,68
90,-5.0,1,69
95,-5.0,1,68
100,-5.0,1,69
105,-5.0,1,69
110,-5.0,1,68
115,-5.0,1,68
120,-5.0,1,69
125,-5.0,1,69
130,-5.0,1,69
135,-5.0,1,69
140,-5.0,1,69
145,-5.0,1,69
150,-5.0,1,69
155,-5.0,1,69
160,-5.0,1,69
165,-5.0,1,69
170,-5.0,1,69
175,-5.0,1,69
180,-5.0,1,69
185,-5.0,1,69
190,-5.0,1,69
195,-5.0,1,69
200,-5.0,1,69
205,-5.0,1,70
210,-5.0,1,69
215,-5.0,1,69
220,-5.0,1,69
225,-5.0,1,69
230,-5.0,1,70
235,-5.0,1,69
240,-5.0,1,70
245,-5.0,1,69
250,-5.0,1,69
255,-5.0,1,69
260,-5.0,1,70
265,-5.0,1,69
270,-5.0,1,69
275,-5.0,1,69
280,-5.0,1,69
285,-5.0,1,69
290,-5.0,1,69
295,-5.0,1,69
300,-5.0,1,69
0,-5.0,2,65
5,-5.0,2,66
10,-5.0,2,67
15,-5.0,2,68
20,-5.0,2,69
25,-5.0,2,69
30,-5.0,2,69
35,-5.0,2,70
40,-5.0,2,69
45,-5.0,2,69
50,-5.0,2,70
55,-5.0,2,70
60,-5.0,2,70
65,-5.0,2,70
70,-5.0,2,70
75,-5.0,2,70
80,-5.0,2,70
85,-5.0,2,70
90,-5.0,2,70
95,-5.0,2,70
100,-5.0,2,70
105,-5.0,2,70
110,-5.0,2,70
115,-5.0,2,70
120,-5.0,2,70
125,-5.0,2,70
130,-5.0,2,70
135,-5.0,2,71
140,-5.0,2,70
145,-5.0,2,71
150,-5.0,2,70
155,-5.0,2,70
160,-5.0,2,71
165,-5.0,2,70
170,-5.0,2,71
175,-5.0,2,71
180,-5.0,2,70
185,-5.0,2,71
190,-5.0,2,71
195,-5.0,2,71
200,-5.0,2,71
205,-5.0,2,71
210,-5.0,2,71
215,-5.0,2,70
220,-5.0,2,71
225,-5.0,2,70
230,-5.0,2,71
235,-5.0,2,71
240,-5.0,2,71
245,-5.0,2,71
250,-5.0,2,71
255,-5.0,2,71
260,-5.0,2,70
265,-5.0,2,71
270,-5.0,2,71
275,-5.0,2,70
280,-5.0,2,71
285,-5.0,2,71
290,-5.0,2,71
295,-5.0,2,70
300,-5.0,2,71
0,-5.0,3,71
5,-5.0,3,71
10,-5.0,3,71
15,-5.0,3,72
20,-5.0,3,72
25,-5.0,3,72
30,-5.0,3,73
35,-5.0,3,73
40,-5.0,3,73
45,-5.0,3,73
50,-5.0,3,73
55,-5.0,3,73
60,-5.0,3,73
65,-5.0,3,73
70,-5.0,3,73
75,-5.0,3,73
80,-5.0,3,73
85,-5.0,3,73
90,-5.0,3,73
95,-5.0,3,73
100,-5.0,3,73
105,-5.0,3,74
110,-5.0,3,73
115,-5.0,3,74
120,-5.0,3,73
125,-5.0,3,73
130,-5.0,3,74
135,-5.0,3,74
140,-5.0,3,74
145,-5.0,3,74
150,-5.0,3,74
155,-5.0,3,74
160,-5.0,3,74
165,-5.0,3,74
170,-5.0,3,74
175,-5.0,3,74
180,-5.0,3,74
185,-5.0,3,75
190,-5.0,3,74
195,-5.0,3,75
200,-5.0,3,74
205,-5.0,3,74
210,-5.0,3,74
215,-5.0,3,74
220,-5.0,3,74
225,-5.0,3,75
230,-5.0,3,74
235,-5.0,3,74
240,-5.0,3,75
245,-5.0,3,74
250,-5.0,3,74
255,-5.0,3,74
260,-5.0,3,74
265,-5.0,3,74
270,-5.0,3,75
275,-5.0,3,74
280,-5.0,3,75
285,-5.0,3,74
290,-5.0,3,74
295,-5.0,3,74
300,-5.0,3,74
0,-5.0,4,68
5,-5.0,4,69
10,-5.0,4,69
15,-5.0,4,69
20,-5.0,4,70
25,-5.0,4,70
30,-5.0,4,70
35,-5.0,4,70
40,-5.0,4,70
45,-5.0,4,71
50,-5.0,4,71
55,-5.0,4,70
60,-5.0,4,70
65,-5.0,4,71
70,-5.0,4,70
75,-5.0,4,70
80,-5.0,4,70
85,-5.0,4,70
90,-5.0,4,70
95,-5.0,4,70
100,-5.0,4,70
105,-5.0,4,70
110,-5.0,4,70
115,-5.0,4,70
120,-5.0,4,70
125,-5.0,4,70
130,-5.0,4,70
135,-5.0,4,70
140,-5.0,4,70
145,-5.0,4,70
150,-5.0,4,70
155,-5.0,4,70
160,-5.0,4,70
165,-5.0,4,70
170,-5.0,4,70
175,-5.0,4,70
180,-5.0,4,70
185,-5.0,4,70
190,-5.0,4,70
195,-5.0,4,70
200,-5.0,4,70
205,-5.0,4,70
210,-5.0,4,70
215,-5.0,4,70
220,-5.0,4,70
225,-5.0,4,70
230,-5.0,4,70
235,-5.0,4,70
240,-5.0,4,70
245,-5.0,4,70
250,-5.0,4,70
255,-5.0,4,70
260,-5.0,4,70
265,-5.0,4,70
270,-5.0,4,70
275,-5.0,4,70
