Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Normalized Endpoint,Concentration (log M),Mean_cAMP_pmol_mL,SEM_cAMP_pmol_mL,Mean_Normalized_Response,SEM_Normalized_Response,n
Carbachol dose titration (M2),M2,Carbachol agonism,,cAMP (% Vehicle Control),-11.0,172.0901719053711,11.164186181443585,89.0148851687786,5.77475598949674,8
Carbachol dose titration (M2),M2,Carbachol agonism,,cAMP (% Vehicle Control),-10.0,187.89497049758816,11.630280062615254,97.1900314669384,6.015846418142375,8
Carbachol dose titration (M2),M2,Carbachol agonism,,cAMP (% Vehicle Control),-9.0,172.52745055123768,16.274649392870714,89.24107070870578,8.418180020559934,8
Carbachol dose titration (M2),M2,Carbachol agonism,,cAMP (% Vehicle Control),-8.0,136.0056685245151,13.115362096176208,70.34991500078118,6.784015833164724,8
Carbachol dose titration (M2),M2,Carbachol agonism,,cAMP (% Vehicle Control),-7.0,69.95223608613219,6.299470114416516,36.18329968274037,3.2584464449677104,8
Carbachol dose titration (M2),M2,Carbachol agonism,,cAMP (% Vehicle Control),-6.0,80.52255147518677,6.789999437181016,41.65087171277969,3.5121762823799902,8
Carbachol dose titration (M2),M2,Carbachol agonism,,cAMP (% Vehicle Control),-5.0,79.5576958367471,10.243435973643484,41.15179316047641,5.298491289955832,8
Carbachol dose titration (M4),M4,Carbachol agonism,,cAMP (% Vehicle Control),-11.0,104.54175965279303,7.551877227173459,115.65333391475218,8.354554022605553,8
Carbachol dose titration (M4),M4,Carbachol agonism,,cAMP (% Vehicle Control),-10.0,111.64357541230022,14.4020992132571,123.50999016545259,15.932875005320538,8
Carbachol dose titration (M4),M4,Carbachol agonism,,cAMP (% Vehicle Control),-9.0,105.96495643844023,6.607665479390808,117.22779998097799,7.309983537899528,8
Carbachol dose titration (M4),M4,Carbachol agonism,,cAMP (% Vehicle Control),-8.0,95.67472152783262,6.961489919984662,105.84383267326925,7.701415405041515,8
Carbachol dose titration (M4),M4,Carbachol agonism,,cAMP (% Vehicle Control),-7.0,84.38479244082676,3.4456702303022926,93.35391531479021,3.8119049366376845,8
Carbachol dose titration (M4),M4,Carbachol agonism,,cAMP (% Vehicle Control),-6.0,68.4981480343448,6.517571430835472,75.77870521281734,7.21031353888757,8
Carbachol dose titration (M4),M4,Carbachol agonism,,cAMP (% Vehicle Control),-5.0,78.98696928436149,3.1863528583200935,87.38236628021474,3.5250251413160845,8
PAC-3310 + 100 nM carbachol (M4),M4,PAC-3310 antagonism,100.0,% Carbachol Signaling Inhibition,-11.0,84.49447586822687,6.372726101021898,14.11019042293358,5.449125569118342,8
PAC-3310 + 100 nM carbachol (M4),M4,PAC-3310 antagonism,100.0,% Carbachol Signaling Inhibition,-10.0,73.85027444603121,5.193856569337866,5.008655347821636,4.441109846188724,8
PAC-3310 + 100 nM carbachol (M4),M4,PAC-3310 antagonism,100.0,% Carbachol Signaling Inhibition,-9.0,82.0094636526262,6.405644611344707,11.985331549518381,5.477273192828158,8
PAC-3310 + 100 nM carbachol (M4),M4,PAC-3310 antagonism,100.0,% Carbachol Signaling Inhibition,-8.0,96.20650490125239,7.607403012580022,24.124792629025855,6.504860496639011,8
PAC-3310 + 100 nM carbachol (M4),M4,PAC-3310 antagonism,100.0,% Carbachol Signaling Inhibition,-7.0,70.31198246393309,4.12093772918392,1.9831687656248116,3.523689358819254,8
PAC-3310 + 100 nM carbachol (M4),M4,PAC-3310 antagonism,100.0,% Carbachol Signaling Inhibition,-6.0,83.20029229132956,9.375584819584292,13.00357314357596,8.016779343088697,8
PAC-3310 + 100 nM carbachol (M4),M4,PAC-3310 antagonism,100.0,% Carbachol Signaling Inhibition,-5.0,47.03935998476476,3.1027255915947305,-17.916547651080897,2.653046920125052,8
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,% Carbachol Signaling Inhibition,-11.0,138.14848475203362,14.84032728241858,8.66562857689348,14.415542344066735,8
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,% Carbachol Signaling Inhibition,-10.0,126.26391719981572,7.890267840296669,-2.87875878933971,7.664419253918744,8
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,% Carbachol Signaling Inhibition,-9.0,136.2314730516625,5.406242140136231,6.803488826545087,5.251495537146309,8
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,% Carbachol Signaling Inhibition,-8.0,119.29679039906217,5.203393344982744,-9.64646070732442,5.054453023168719,8
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,% Carbachol Signaling Inhibition,-7.0,110.90479421805507,5.464228914089307,-17.79824698510241,5.307822515615761,8
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,% Carbachol Signaling Inhibition,-6.0,134.34670494843186,8.113765103695707,4.972669742584853,7.881519200772935,8
PAC-3310 + 20 nM carbachol (M2),M2,PAC-3310 antagonism,20.0,% Carbachol Signaling Inhibition,-5.0,140.98327164625803,6.05450016063776,11.419273407793554,5.881198020560654,8
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,cAMP (% Vehicle Control),-11.0,249.2907232330587,11.993385473181975,130.95437697021566,6.300219687420381,8
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,cAMP (% Vehicle Control),-10.0,266.5612954550315,26.28128392204189,140.0267443488171,13.805765081642404,8
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,cAMP (% Vehicle Control),-9.0,271.69527439682656,15.644593858655057,142.72366385300754,8.218228160046325,8
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,cAMP (% Vehicle Control),-8.0,270.48714562043216,21.30267729804666,142.08902430781836,11.190463877611776,8
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,cAMP (% Vehicle Control),-7.0,250.82759329277968,14.444451611387896,131.76170689627466,7.587784001401971,8
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,cAMP (% Vehicle Control),-6.0,253.26440326950402,25.41429398687311,133.04178233654048,13.35032845196352,8
PAC-3310 dose titration (M2),M2,PAC-3310 agonism,,cAMP (% Vehicle Control),-5.0,179.41585767411829,12.434216634964534,94.2485606988496,6.531791762753164,8
PAC-3310 dose titration (M4),M4,PAC-3310 agonism,,cAMP (% Vehicle Control),-11.0,209.42102690374827,10.74870219199255,119.1954753127595,6.117803382554804,8
PAC-3310 dose titration (M4),M4,PAC-3310 agonism,,cAMP (% Vehicle Control),-10.0,176.27219740602075,6.323108505917638,100.3282653364697,3.5989028177357105,8
PAC-3310 dose titration (M4),M4,PAC-3310 agonism,,cAMP (% Vehicle Control),-9.0,193.2113458125523,7.611026751025468,109.96946457783281,4.331942998367426,8
PAC-3310 dose titration (M4),M4,PAC-3310 agonism,,cAMP (% Vehicle Control),-8.0,213.33679948754298,12.805024899401813,121.4242026819391,7.288193797165465,8
PAC-3310 dose titration (M4),M4,PAC-3310 agonism,,cAMP (% Vehicle Control),-7.0,166.41651069023263,6.34900348733278,94.71873662776969,3.6136413789185418,8
PAC-3310 dose titration (M4),M4,PAC-3310 agonism,,cAMP (% Vehicle Control),-6.0,149.0703522841665,7.698986707935504,84.84588084709512,4.382006876992185,8
PAC-3310 dose titration (M4),M4,PAC-3310 agonism,,cAMP (% Vehicle Control),-5.0,132.00801809822605,6.8804366201914045,75.13456836187345,3.916115422736246,8
