Condition,Receptor,Assay Mode,Fixed Carbachol (nM),Compound,Well,Plate Row,Replicate,Condition Label,Concentration (log M),Concentration (M),Corrected Fluorescence,B/B0,Measured cAMP (pmol/mL),Real-sample cAMP (pmol/mL),Standard-curve Linear Range Flag,Is Control,Normalized Response,Normalized Endpoint
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,A2,A,1,Vehicle Control,,,0.265,0.2988505747126437,36.9533813912986,184.766906956493,Within 20–80% B/B0,True,95.57201799279102,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,A3,A,1,-5.0,-5.0,1e-05,0.359,0.4789272030651341,12.6793937583197,63.396968791598496,Within 20–80% B/B0,False,32.79254029762899,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,A4,A,1,-6.0,-6.0,1e-06,0.339,0.4406130268199234,15.71810666117701,78.59053330588506,Within 20–80% B/B0,False,40.651521351395,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,A5,A,1,-7.0,-7.0,1e-07,0.319,0.40229885057471265,19.56355591060217,97.81777955301084,Within 20–80% B/B0,False,50.59695343418039,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,A6,A,1,-8.0,-8.0,1e-08,0.3,0.36590038314176243,24.239148493105713,121.19574246552857,Within 20–80% B/B0,False,62.689373710696955,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,A7,A,1,-9.0,-9.0,1e-09,0.283,0.3333333333333333,29.5903619533245,147.9518097666225,Within 20–80% B/B0,False,76.52914289684566,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,A8,A,1,-10.0,-10.0,1e-10,0.266,0.30076628352490425,36.486921620867655,182.43460810433828,Within 20–80% B/B0,False,94.36561955524408,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,A9,A,1,-11.0,-11.0,1e-11,0.256,0.2816091954022989,41.52068401038426,207.6034200519213,Within 20–80% B/B0,False,107.38436943818702,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,B2,B,2,Vehicle Control,,,0.281,0.3295019157088123,30.311246627506765,151.55623313753384,Within 20–80% B/B0,True,78.39355693577033,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,B3,B,2,-5.0,-5.0,1e-05,0.311,0.38697318007662834,21.391148263634364,106.95574131817182,Within 20–80% B/B0,False,55.3236302001829,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,B4,B,2,-6.0,-6.0,1e-06,0.326,0.4157088122605364,18.109513723910563,90.54756861955282,Within 20–80% B/B0,False,46.83638428470902,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,B5,B,2,-7.0,-7.0,1e-07,0.323,0.4099616858237548,18.717170623033898,93.58585311516948,Within 20–80% B/B0,False,48.40795889872076,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,B6,B,2,-8.0,-8.0,1e-08,0.3,0.36590038314176243,24.239148493105713,121.19574246552857,Within 20–80% B/B0,False,62.689373710696955,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,B7,B,2,-9.0,-9.0,1e-09,0.252,0.27394636015325674,43.78819699704007,218.94098498520034,Within 20–80% B/B0,False,113.24880684013438,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,B8,B,2,-10.0,-10.0,1e-10,0.26,0.28927203065134105,39.40496440494958,197.0248220247479,Within 20–80% B/B0,False,101.91251315371946,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,B9,B,2,-11.0,-11.0,1e-11,0.271,0.31034482758620696,34.264598617773636,171.32299308886817,Within 20–80% B/B0,False,88.61805638129574,cAMP (% Vehicle Control)
Carbachol dose titration (M2),M2,Carbachol agonism,,Carbachol,C2,C,3,Vehicle Control,,,0.258,0.28544061302681994,40.44473031900998,202.2236515950499,Within 20–80% B/B0,True,104.60164532256263,cAMP (% Vehicle Control)
