Well,PAC-3310 Concentration (log M),Replicate,Fluorescence
A1,Standard: NSB,,0.105
A2,Carbachol-only Control (20 nM),1,0.286
A3,-5.0,1,0.292
A4,-6.0,1,0.293
A5,-7.0,1,0.301
A6,-8.0,1,0.283
A7,-9.0,1,0.278
A8,-10.0,1,0.292
A9,-11.0,1,0.249
A10,Vehicle Control,1,0.235
B1,Standard: B_0,,0.676
B2,Carbachol-only Control (20 nM),2,0.273
B3,-5.0,2,0.28
B4,-6.0,2,0.298
B5,-7.0,2,0.31
B6,-8.0,2,0.286
B7,-9.0,2,0.288
B8,-10.0,2,0.292
B9,-11.0,2,0.286
B10,Vehicle Control,2,0.239
C1,Standard: 1 pmol/mL,,0.599
C2,Carbachol-only Control (20 nM),3,0.264
C3,-5.0,3,0.292
C4,-6.0,3,0.321
C5,-7.0,3,0.303
C6,-8.0,3,0.319
C7,-9.0,3,0.286
C8,-10.0,3,0.266
C9,-11.0,3,0.265
C10,Vehicle Control,3,0.223
D1,Standard: 3.1 pmol/mL,,0.483
D2,Carbachol-only Control (20 nM),4,0.302
D3,-5.0,4,0.28
D4,-6.0,4,0.286
D5,-7.0,4,0.303
D6,-8.0,4,0.293
D7,-9.0,4,0.282
D8,-10.0,4,0.295
D9,-11.0,4,0.267
D10,Vehicle Control,4,0.24
E1,Standard: 9.3 pmol/mL,,0.392
E2,Carbachol-only Control (20 nM),5,0.302
E3,-5.0,5,0.266
E4,-6.0,5,0.278
E5,-7.0,5,0.302
E6,-8.0,5,0.297
E7,-9.0,5,0.284
E8,-10.0,5,0.314
E9,-11.0,5,0.286
E10,Vehicle Control,5,0.248
F1,Standard: 27.8 pmol/mL,,0.273
F2,Carbachol-only Control (20 nM),6,0.286
F3,-5.0,6,0.287
F4,-6.0,6,0.267
F5,-7.0,6,0.315
F6,-8.0,6,0.295
F7,-9.0,6,0.278
F8,-10.0,6,0.315
F9,-11.0,6,0.28
F10,Vehicle Control,6,0.235
G1,Standard: 83.3 pmol/mL,,0.205
G2,Carbachol-only Control (20 nM),7,0.286
G3,-5.0,7,0.265
G4,-6.0,7,0.273
G5,-7.0,7,0.32
G6,-8.0,7,0.312
G7,-9.0,7,0.308
G8,-10.0,7,0.278
G9,-11.0,7,0.32
G10,Vehicle Control,7,0.232
H1,Standard: 250 pmol/mL,,0.151
H2,Carbachol-only Control (20 nM),8,0.325
H3,-5.0,8,0.287
H4,-6.0,8,0.276
H5,-7.0,8,0.278
H6,-8.0,8,0.29
H7,-9.0,8,0.27
H8,-10.0,8,0.286
H9,-11.0,8,0.349
H10,Vehicle Control,8,0.263
