Well,Carbachol Concentration (log M),Replicate,Fluorescence
A1,Standard: NSB,,0.109
A2,Vehicle Control,1,0.265
A3,-5.0,1,0.359
A4,-6.0,1,0.339
A5,-7.0,1,0.319
A6,-8.0,1,0.3
A7,-9.0,1,0.283
A8,-10.0,1,0.266
A9,-11.0,1,0.256
B1,Standard: B_0,,0.631
B2,Vehicle Control,2,0.281
B3,-5.0,2,0.311
B4,-6.0,2,0.326
B5,-7.0,2,0.323
B6,-8.0,2,0.3
B7,-9.0,2,0.252
B8,-10.0,2,0.26
B9,-11.0,2,0.271
C1,Standard: 1 pmol/mL,,0.558
C2,Vehicle Control,3,0.258
C3,-5.0,3,0.326
C4,-6.0,3,0.304
C5,-7.0,3,0.371
C6,-8.0,3,0.261
C7,-9.0,3,0.3
C8,-10.0,3,0.247
C9,-11.0,3,0.288
D1,Standard: 3.1 pmol/mL,,0.487
D2,Vehicle Control,4,0.282
D3,-5.0,4,0.35
D4,-6.0,4,0.349
D5,-7.0,4,0.377
D6,-8.0,4,0.264
D7,-9.0,4,0.292
D8,-10.0,4,0.3
D9,-11.0,4,0.289
E1,Standard: 9.3 pmol/mL,,0.366
E2,Vehicle Control,5,0.3
E3,-5.0,5,0.297
E4,-6.0,5,0.32
E5,-7.0,5,0.349
E6,-8.0,5,0.333
E7,-9.0,5,0.255
E8,-10.0,5,0.259
E9,-11.0,5,0.279
F1,Standard: 27.8 pmol/mL,,0.284
F2,Vehicle Control,6,0.268
F3,-5.0,6,0.386
F4,-6.0,6,0.35
F5,-7.0,6,0.349
F6,-8.0,6,0.289
F7,-9.0,6,0.3
F8,-10.0,6,0.265
F9,-11.0,6,0.282
G1,Standard: 83.3 pmol/mL,,0.213
G2,Vehicle Control,7,0.253
G3,-5.0,7,0.397
G4,-6.0,7,0.361
G5,-7.0,7,0.38
G6,-8.0,7,0.3
G7,-9.0,7,0.259
G8,-10.0,7,0.255
G9,-11.0,7,0.253
H1,Standard: 250 pmol/mL,,0.162
H2,Vehicle Control,8,0.221
H3,-5.0,8,0.326
H4,-6.0,8,0.364
H5,-7.0,8,0.352
H6,-8.0,8,0.3
H7,-9.0,8,0.249
H8,-10.0,8,0.27
H9,-11.0,8,0.259
