Well,PAC-3310 Concentration (log M),Replicate,Fluorescence
A1,Standard: NSB,,0.109
A2,Vehicle Control,1,0.349
A3,-5.0,1,0.386
A4,-6.0,1,0.397
A5,-7.0,1,0.357
A6,-8.0,1,0.313
A7,-9.0,1,0.346
A8,-10.0,1,0.346
A9,-11.0,1,0.353
B1,Standard: B_0,,0.832
B2,Vehicle Control,2,0.352
B3,-5.0,2,0.353
B4,-6.0,2,0.373
B5,-7.0,2,0.357
B6,-8.0,2,0.325
B7,-9.0,2,0.34
B8,-10.0,2,0.369
B9,-11.0,2,0.31
C1,Standard: 1 pmol/mL,,0.765
C2,Vehicle Control,3,0.353
C3,-5.0,3,0.408
C4,-6.0,3,0.357
C5,-7.0,3,0.34
C6,-8.0,3,0.312
C7,-9.0,3,0.329
C8,-10.0,3,0.375
C9,-11.0,3,0.312
D1,Standard: 3.1 pmol/mL,,0.604
D2,Vehicle Control,4,0.353
D3,-5.0,4,0.397
D4,-6.0,4,0.378
D5,-7.0,4,0.37
D6,-8.0,4,0.347
D7,-9.0,4,0.338
D8,-10.0,4,0.344
D9,-11.0,4,0.338
E1,Standard: 9.3 pmol/mL,,0.508
E2,Vehicle Control,5,0.342
E3,-5.0,5,0.381
E4,-6.0,5,0.4
E5,-7.0,5,0.353
E6,-8.0,5,0.367
E7,-9.0,5,0.347
E8,-10.0,5,0.347
E9,-11.0,5,0.338
F1,Standard: 27.8 pmol/mL,,0.372
F2,Vehicle Control,6,0.356
F3,-5.0,6,0.406
F4,-6.0,6,0.372
F5,-7.0,6,0.353
F6,-8.0,6,0.332
F7,-9.0,6,0.343
F8,-10.0,6,0.343
F9,-11.0,6,0.324
G1,Standard: 83.3 pmol/mL,,0.273
G2,Vehicle Control,7,0.329
G3,-5.0,7,0.391
G4,-6.0,7,0.351
G5,-7.0,7,0.386
G6,-8.0,7,0.341
G7,-9.0,7,0.364
G8,-10.0,7,0.34
G9,-11.0,7,0.353
H1,Standard: 250 pmol/mL,,0.189
H2,Vehicle Control,8,0.385
H3,-5.0,8,0.381
H4,-6.0,8,0.354
H5,-7.0,8,0.353
H6,-8.0,8,0.308
H7,-9.0,8,0.32
H8,-10.0,8,0.349
H9,-11.0,8,0.329
